,Date,Shape,Location,State,Country,Lat,Lng,Closest Airport,Closest Airport Address,Closest Military Base,Closest Military Base Address
2458,2016-07-07,Teardrop ,Tucson ,AZ ,USA ,32.2226066,-110.9747108,Tucson International Airport,"7250 South Tucson Boulevard, Tucson",Arizona National Guard Silverbell Army Heliport,"24641 E Pinal Airpark Rd #4500, Marana"
2459,2016-07-08,Lights Only ,Lauderhill ,FL ,USA ,26.1403635,-80.2133808,,,MILITARY TRL at TOWN CTR RD,Boca Raton
2460,2016-07-08,Lights Only ,Cape Coral ,FL ,USA ,26.5628537,-81.9495331,Southwest Florida International Airport,"11000 Terminal Access Road, Fort Myers",Military Recruiting Office- U.S. Army Naples,"2275 Pine Ridge Rd, Naples"
2461,2016-07-08,Lights Only ,Blackfoot ,ID ,USA ,43.19047090000001,-112.3449773,Idaho Falls Regional Airport,"2140 North Skyline Drive, Idaho Falls",US Army Department,"611 W Quinn Rd # 1, Pocatello"
2462,2016-07-08,Circle ,Shoreview ,MN ,USA ,45.0791325,-93.14716670000001,Minneapolis−Saint Paul International Airport,MN,Military Issue,"640 Taft St NE, Minneapolis"
2463,2016-07-08,Circle ,Jasper I ,IN ,USA ,38.3914418,-86.9311094,Richardson Field,Winslow,US Army Recruiting Office Evansville,"1470 N Green River Rd, Evansville"
2464,2016-07-08,Lights Only ,Erlanger ,KY ,USA ,39.0167275,-84.60077729999999,Cincinnati/Northern Kentucky International Airport,"3087 Terminal Drive, Hebron",Military Surplus,"1250 US-50, Milford"
2465,2016-07-08,Lights Only ,Arrow Rock ,MO ,USA ,39.06974659999999,-92.94658079999999,Jesse Viertel Memorial Airport-Ver,"20044 Pearre Lane, Boonville",National Guard,"453 S Davis Ave, Marshall"
2466,2016-07-08,Circle ,Plainfield ,IL ,USA ,41.632223,-88.2120315,O'Hare International Airport,"10000 West O'Hare Avenue, Chicago",A.R.M.Y PVT LTD,"1014 Plum Grove Rd Ste 204, Schaumburg"
2467,2016-07-08,Diamond ,Peterborough ,England/UK ,USA ,52.56949849999999,-0.2405299,Cambridge Airport,"Newmarket Road, Cambridge",Military AutoSource (MAS) Molesworth On Base,"Building 323, Molesworth, Huntingdon"
